"","Strain","max","min","mean","median","count"
"60","IC-39-2",0.801658374792703,0.801658374792703,0.801658374792703,0.801658374792703,1
"61","KU002",0.799546142208775,0.782327586206897,0.790936864207836,0.790936864207836,2
"62","BIR260",0.799253881831014,0.799253881831014,0.799253881831014,0.799253881831014,1
"63","NIVA-CYA 172/5",0.796841731724627,0.796841731724627,0.796841731724627,0.796841731724627,1
"64","XPORK13A",0.793846153846154,0.678494623655914,0.717269849978555,0.679468772433596,3
"65","NIES-835",0.786139455782313,0.786139455782313,0.786139455782313,0.786139455782313,1
"66","TAU IL-347",0.784420289855073,0.162961752206604,0.481738515850301,0.489786010669765,4
"67","ITEP-024",0.78441127694859,0.241979522184301,0.63533903643018,0.757482673293914,8
"68","PCC 7005",0.780483165303405,0.233415841584159,0.33233122188206,0.24749678537771,6
"69","UIC 10035",0.77844427244582,0.764344262295082,0.768604802931504,0.766307326877398,7
"70","CU 2555",0.77801724137931,0.77801724137931,0.77801724137931,0.77801724137931,1
"71","CCAP 1459/22",0.777044854881267,0.777044854881267,0.777044854881267,0.777044854881267,1
"72","[Komarekiella atlantica]CCIBt 3307",0.773722627737226,0.773722627737226,0.773722627737226,0.773722627737226,1
"73","[Nodularia spumigena]CENA 596",0.773722627737226,0.773722627737226,0.773722627737226,0.773722627737226,1
"74","XPORK 5A",0.773640167364017,0.22539213457604,0.318038903423712,0.227268996344428,6
"75","GSV 224",0.771464938671604,0.326164874551972,0.61604408130889,0.672852983988355,39
"76","PH256",0.770325641578607,0.226612050739957,0.498468846159282,0.498468846159282,2
"77","BQ-16-1",0.769998063141584,0.76828499369483,0.769034903725409,0.768928279032611,4
"78","UIC 10445",0.761701056869653,0.726577181208053,0.744139119038853,0.744139119038853,2
"79","[Brasilonema octagenarum]CCIBt 3551",0.76056338028169,0.76056338028169,0.76056338028169,0.76056338028169,1
"80","[Calothrix sp.]CCIBt 3289",0.76056338028169,0.76056338028169,0.76056338028169,0.76056338028169,1
"81","[Leptolyngbya sp.]CCIBt 3626",0.76056338028169,0.76056338028169,0.76056338028169,0.76056338028169,1
"82","[Scytonema sp.]CCIBt 3464",0.76056338028169,0.76056338028169,0.76056338028169,0.76056338028169,1
"83","[Tolypothrix sp.]LTPNA DBG 92",0.76056338028169,0.76056338028169,0.76056338028169,0.76056338028169,1
"84","152",0.759372453137734,0.142043493268899,0.515208807436793,0.75421984355702,5
"85","UTEX 1613",0.75911781554325,0.747549019607843,0.754894324474685,0.756455231373823,4
"86","C24/89",0.758573655494934,0.75747149036571,0.758022572930322,0.758022572930322,2
"87","1TU28S13",0.757655116841257,0.757533051473055,0.757594084157156,0.757594084157156,2
"88","SYKE844C",0.757655116841257,0.757533051473055,0.757594084157156,0.757594084157156,2
"89","90",0.756336876533116,0.114191251271617,0.435264063902366,0.435264063902366,2
"90","36 and 41",0.752704326923077,0.752005347593583,0.75235483725833,0.75235483725833,2
"91","B2 83",0.750594766058684,0.750594766058684,0.750594766058684,0.750594766058684,1
"92","CAVN2",0.742943548387097,0.689947399181765,0.713553456026758,0.711574339839265,8
"93","EU-10-1",0.73978590544157,0.73978590544157,0.73978590544157,0.73978590544157,1
"94","LK-1",0.738675958188153,0.738675958188153,0.738675958188153,0.738675958188153,1
"95","FSN",0.736666666666666,0.318840579710145,0.651233854956054,0.712121386069763,6
"96","ATCC 29204",0.728540772532189,0.728540772532189,0.728540772532189,0.728540772532189,1
"97","R76DM",0.727488151658768,0.727488151658768,0.727488151658768,0.727488151658768,1
"98","NPCD-01",0.726428920371275,0.726428920371275,0.726428920371275,0.726428920371275,1
"99","SYKE748A",0.723331277940497,0.227903391572456,0.569440703404974,0.71389464952302,15
"100","UTEX B1932",0.720788043478261,0.650572831423895,0.693712157336845,0.701743877222613,4
"101","UIC 10062",0.718502519798416,0.717008797653959,0.717755658726188,0.717755658726188,2
"102","UTEX LB 2386",0.71342383107089,0.702980837473385,0.708867586995805,0.71019809244314,3
"103","NIES 478",0.711356466876972,0.281952247191011,0.35875471041157,0.288582034296268,6
"104","NIES-99",0.711231203007519,0.706003666361137,0.708617434684328,0.708617434684328,2
"105","[Leptolyngbya sp.]LTPNA DBG 07",0.709016393442623,0.709016393442623,0.709016393442623,0.709016393442623,1
"106","[Nostoc sp.]CCIBt 3329",0.709016393442623,0.709016393442623,0.709016393442623,0.709016393442623,1
"107","IL-374",0.698547215496368,0.698547215496368,0.698547215496368,0.698547215496368,1
"108","Bio33",0.697188386450859,0.679896167771022,0.688327341440921,0.6881124057709,4
"109",NA,0.687047756874095,0.223394495412844,0.515682350845912,0.613340563991323,7
"110","XPORK 15F",0.679725363489499,0.679725363489499,0.679725363489499,0.679725363489499,1
"111","CCNP1324",0.679176755447942,0.190357439733998,0.316172674591877,0.314018556672133,12
"112","XSPORK 27C",0.675361155698235,0.675361155698235,0.675361155698235,0.675361155698235,1
"113","PNG-05/19/05-13",0.660179640718563,0.602848101265823,0.631513870992193,0.631513870992193,2
"114","NIES-515",0.657579062159215,0.657579062159215,0.657579062159215,0.657579062159215,1
"115","UIC 10520",0.640738060781476,0.62890625,0.634822155390738,0.634822155390738,2
"116","CHARLIE-1",0.629456706281833,0.362860192102454,0.496158449192144,0.496158449192144,2
"117","TAU IL-220",0.625,0.625,0.625,0.625,1
"118","IL-337",0.613868613138686,0.401425178147269,0.525493679758789,0.603299856527977,5
"119","PAC-03/03/2007-1",0.600271002710027,0.600271002710027,0.600271002710027,0.600271002710027,1
"120","AWQC 131C",0.598214285714285,0.574906367041198,0.585585664615201,0.582764705882353,8
"121","BY-8-1",0.597292724196278,0.36405750798722,0.491197875671088,0.428827751196173,11
"122","LBRI 48",0.584821428571428,0.412556053811659,0.527399636984839,0.584821428571428,3
"123","[Fischerella sp.]ATCC 43239 (Stigonematales)",0.584295612009238,0.420710059171597,0.528349843609986,0.580043859649123,3
"124","78-12A",0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,1
"125","[Cylindrospermopsis raciborskii]T3",0.582920792079208,0.582920792079208,0.582920792079208,0.582920792079208,1
"126","XSPORK2A",0.580402010050251,0.422965954991344,0.476485230790963,0.437243326488707,13
"127","HI09-1",0.577399380804953,0.440380047505938,0.546026811884918,0.560518731988472,7
"128","TA04",0.57601880877743,0.57601880877743,0.57601880877743,0.57601880877743,1
"129","ATCC 53558",0.573529411764706,0.426857142857143,0.500193277310924,0.500193277310924,2
"130","UTEX 1519",0.569832402234637,0.569832402234637,0.569832402234637,0.569832402234637,1
"131","NRC-44h1",0.569711538461539,0.569711538461539,0.569711538461539,0.569711538461539,1
"132","GO- 25-2",0.563517915309447,0.559322033898305,0.56177998306925,0.5625,3
"133","EAWAG 122b",0.556917688266199,0.211864406779661,0.307437748711328,0.250501497428943,8
"134","No 108b",0.549090909090909,0.446808510638298,0.481931678531865,0.449895615866388,3
"135","ITEP-025",0.549056603773585,0.549056603773585,0.549056603773585,0.549056603773585,1
"136","ITEP-026",0.549056603773585,0.549056603773585,0.549056603773585,0.549056603773585,1
"137","UH DO-8-1",0.448214285714286,0.448214285714286,0.448214285714286,0.448214285714286,1
"138","UTEX 1829",0.424689440993789,0.424689440993789,0.424689440993789,0.424689440993789,1
"139","V-3-1",0.422899884925201,0.411538461538462,0.417088743751954,0.41719894064496,6
"140","ATCC 43239 (Stigonematales)",0.416260162601626,0.416260162601626,0.416260162601626,0.416260162601626,1
"141","UTEX 1903",0.415700737618546,0.368282402528978,0.39408797864324,0.401682439537329,15
"142","IL-199-3-1",0.412133891213389,0.372717508055854,0.388116587833477,0.379498364231188,3
"143","UH strain IC-13-1",0.410585817060637,0.410585817060637,0.410585817060637,0.410585817060637,1
"144","PCC 9339",0.409262048192771,0.400087642418931,0.405405876808076,0.406136908310301,4
"145","TAU SL-30-1-4",0.406253877652314,0.406253877652314,0.406253877652314,0.406253877652314,1
"146","UH  BY-8-1",0.399891774891775,0.399891774891775,0.399891774891775,0.399891774891775,1
"147","MB-K",0.387259858442871,0.0985481742190935,0.242904016330982,0.242904016330982,2
"148","PNG",0.38544474393531,0.377183967112025,0.381239178754078,0.3810888252149,3
"149","UHCC 0450 (previously 107.3)",0.383705650459921,0.383705650459921,0.383705650459921,0.383705650459921,1
"150","UHCC 398",0.381840796019901,0.381840796019901,0.381840796019901,0.381840796019901,1
"151","PCC 7906",0.381318681318682,0.381318681318682,0.381318681318682,0.381318681318682,1
"152","IAM M-14",0.379310344827586,0.379310344827586,0.379310344827586,0.379310344827586,1
"153","NIES-41",0.37778958554729,0.37778958554729,0.37778958554729,0.37778958554729,1
"154","SAG 74.79",0.376256281407035,0.376256281407035,0.376256281407035,0.376256281407035,1
"155","field sample New Ireland in Papua New Guinea",0.375498007968127,0.375498007968127,0.375498007968127,0.375498007968127,1
"156","KU006",0.373601053324556,0.236607142857143,0.305104098090849,0.305104098090849,2
"157","UHCC 0398",0.37270087124879,0.37270087124879,0.37270087124879,0.37270087124879,1
"158","BC-1-2",0.371995820271682,0.353763440860215,0.361921309329363,0.360864941510103,5
"159","BEA-0956",0.36731843575419,0.36731843575419,0.36731843575419,0.36731843575419,1
"160","May-96",0.365650969529086,0.356461156709296,0.360111363404272,0.358221963974434,3
"161","HAN11/1",0.360781577110956,0.360781577110956,0.360781577110956,0.360781577110956,1
